,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,# Deaths,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,% Insufficient Sleep,# Uninsured,% Uninsured,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,Suicide Rate (Age-Adjusted),# Firearm Fatalities,Firearm Fatalities Rate,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% Broadband Access,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural,
01000,Alabama,,75.5,82249,70,8,14,16,15,13579,330,829220,17,378623,8,2378,16,6828,20,40,36123,3,93,1071:1,55151,90,8,2.9,51771,55,57,51,10,16,5268,22,,220,1284748,69,213551,12,76,4903185,22.2,17.3,1297775,26.5,34799,0.7,73715,1.5,5110,0.1,223278,4.6,3200828,65.3,50445,1,51.7,1957932,41.0,
01001,Alabama,Autauga,77.2,787,57,7,13,16,13,107,230,8620,16,6544,12,14,8,77,20,38,350,3,41,2429:1,652,89,,3.1,58233,47,25,24,5,18,46,17,,155,15682,73,2745,13,81,55869,23.2,16.0,11098,19.9,266,0.5,656,1.2,58,0.1,1671,3.0,41215,73.8,419,1,51.5,22921,42.0,
01003,Alabama,Baldwin,78.2,3147,51,6,12,15,10,313,169,26860,13,9887,5,82,13,252,17,36,1857,4,65,1550:1,2305,88,6,3.2,59871,40,42,32,3,19,153,14,28,134,60896,75,8700,11,82,223234,21.3,21.0,19215,8.6,1742,0.8,2380,1.1,154,0.1,10534,4.7,185747,83.2,1425,1,51.5,77060,42.3,
01005,Alabama,Barbour,74.1,515,76,,18,19,18,100,471,5650,22,2949,11,,,48,26,41,180,3,57,1763:1,261,82,,2.4,35972,61,20,20,10,11,27,21,,102,5691,61,1223,14,61,24686,20.6,19.7,11807,47.8,170,0.7,116,0.5,52,0.2,1117,4.5,11235,45.5,454,2,47.1,18613,67.8,
01007,Alabama,Bibb,73.4,476,103,13,15,17,14,45,235,3400,15,596,3,15,22,43,27,40,134,3,121,829:1,225,88,,2.7,47918,63,40,40,10,17,23,20,,27,5128,74,569,9,69,22394,20.3,16.7,4719,21.1,103,0.5,48,0.2,26,0.1,623,2.8,16663,74.4,71,0,46.7,15663,68.4,
01009,Alabama,Blount,74.4,1100,82,6,15,17,15,44,91,7810,14,1651,3,38,22,116,29,39,622,4,24,4130:1,766,93,18,2.9,52902,50,43,22,7,20,62,21,11,43,16423,79,1521,8,73,57826,22.9,18.7,872,1.5,370,0.6,185,0.3,67,0.1,5582,9.7,50176,86.8,878,2,50.8,51562,90.0,
01011,Alabama,Bullock,74.4,189,,,18,18,30,48,560,2120,21,2155,20,,,35,48,45,55,3,79,1263:1,113,88,,2.1,31906,76,38,36,14,,13,25,,40,2504,71,504,16,60,10101,20.8,16.9,6978,69.1,84,0.8,21,0.2,77,0.8,864,8.6,2121,21.0,63,1,45.5,5607,51.4,
01013,Alabama,Butler,74.2,398,90,,17,19,20,57,344,3820,19,613,3,,,48,34,42,130,3,72,1389:1,252,83,,2.5,39944,71,35,34,17,10,21,21,8,58,4551,70,634,11,65,19448,22.0,20.8,8680,44.6,77,0.4,279,1.4,8,0.0,289,1.5,9937,51.1,30,0,53.6,14921,71.2,
01015,Alabama,Calhoun,73.5,2340,70,8,15,18,17,253,261,20050,17,10883,9,68,20,169,21,38,724,3,64,1556:1,1398,91,6,2.9,47747,59,44,41,10,20,155,27,35,171,31254,70,4488,11,75,113605,21.5,18.1,23855,21.0,605,0.5,1024,0.9,127,0.1,4614,4.1,81464,71.7,955,1,52.0,39955,33.7,
01017,Alabama,Chambers,75.0,635,85,8,16,18,18,114,399,5530,16,3534,10,11,11,51,22,41,196,3,15,6651:1,309,81,14,2.6,42015,70,26,24,12,24,42,25,32,115,9072,67,1503,12,69,33254,20.8,20.2,13231,39.8,109,0.3,374,1.1,15,0.0,871,2.6,18331,55.1,101,0,52.2,16816,49.1,
01019,Alabama,Cherokee,74.5,571,75,,16,18,16,26,115,4040,16,57,0,13,17,65,36,38,189,4,80,1247:1,325,94,,2.8,45982,62,37,35,8,23,36,28,23,1,8304,77,821,8,71,26196,18.9,23.5,1069,4.1,181,0.7,103,0.4,8,0.0,449,1.7,24014,91.7,110,0,50.7,22282,85.7,
01021,Alabama,Chilton,74.9,814,50,6,16,18,19,52,142,6960,16,637,1,21,16,80,26,39,485,4,23,4443:1,558,87,,2.8,49692,61,39,33,6,14,31,14,,42,12610,74,1916,12,69,44428,23.8,17.1,4412,9.9,250,0.6,217,0.5,77,0.2,3636,8.2,35481,79.9,689,2,50.9,37858,86.7,
01023,Alabama,Choctaw,74.7,262,,,16,18,18,25,226,2710,21,1010,7,,,36,39,42,108,4,40,2518:1,117,83,,2.5,39808,77,47,45,,,10,15,,1,4288,81,380,8,61,12589,19.7,23.6,5234,41.6,26,0.2,25,0.2,0,0.0,128,1.0,7091,56.3,30,0,52.8,13859,100.0,
01025,Alabama,Clarke,74.6,447,86,,17,19,25,35,172,5150,21,2882,11,11,15,55,32,43,166,3,68,1476:1,332,93,12,3.0,43822,71,16,15,,17,23,19,27,47,6372,70,905,12,57,23622,21.3,20.5,10569,44.7,133,0.6,103,0.4,5,0.0,310,1.3,12309,52.1,18,0,52.8,19628,76.0,
01027,Alabama,Clay,74.9,260,,,16,19,16,20,176,2130,16,324,2,,,31,33,39,128,5,45,2206:1,154,88,,2.8,40562,66,16,16,,23,13,19,8,0,3922,75,351,7,70,13235,20.2,21.0,1786,13.5,75,0.6,38,0.3,0,0.0,435,3.3,10634,80.3,12,0,51.3,13932,100.0,
01029,Alabama,Cleburne,74.4,303,95,,15,18,14,16,127,2620,18,310,2,,,39,37,38,145,4,13,7455:1,201,94,,3.1,51276,54,36,28,,14,16,21,12,22,4324,76,426,8,64,14910,22.5,20.2,410,2.7,79,0.5,33,0.2,11,0.1,387,2.6,13839,92.8,104,1,50.8,14972,100.0,
